"","DCISMS1","DCISMS2","DCISMS3","DCISMS4","DCISMS5","DCISMS6","DCISMS7","DCISMS8","DCISMS9","DCISMS10","DCISMS11","DCISMS12","DCISMS13","DCISMS14","DCISMS15","DCISMS16","DCISMS17","DCISMS18","DCISMS19","DCISMS20","DCISMS21","DCISMS22","DCISMS23","DCISMS24","DCISMS25","DCISMS26","DCISMS27"
"DCISMS11",0.577905021375408,0.503315608247749,0.514938917895551,0.575804033175306,-0.166651520055635,0.452712172659703,-0.30250519992431,-0.229571502288958,0.525544459451494,-0.300706993459369,1,0.880782651339444,0.61755538859392,0.625916193923976,-0.081548678973309,0.532350369640772,-0.267345958940798,-0.122861130904244,-0.0986023411352259,0.580107207853987,0.586968193537452,0.565650831289916,0.541793792107365,0.49403909387886,0.520488682442855,0.568296395631913,0.584467693253445
"DCISMS12",0.540808248571451,0.513791534941701,0.459508702322579,0.599289720562838,-0.125247367099549,0.433583363686274,-0.305316334134792,-0.22539911469286,0.498164324253814,-0.290910656522954,0.880782651339444,1,0.600328377775813,0.637759694246638,-0.0493933217430197,0.502343801687308,-0.25112547733693,-0.0970149139560678,-0.093031280976767,0.590239759151099,0.607876260096981,0.588943549432287,0.555066843810094,0.46993024704296,0.514749902478229,0.535983226452715,0.553623532412122
"DCISMS13",0.462856089742126,0.430352528843806,0.389713492300515,0.425119614418223,-0.12999691923465,0.340706648646435,-0.169608585054949,-0.0758953952584193,0.339876943478771,-0.144930097158098,0.61755538859392,0.600328377775813,1,0.810447652825414,-0.0747772770449229,0.570199938005077,-0.249695017430468,-0.0407436127927103,-0.151557375792622,0.622281106138106,0.36450682230857,0.410849810264307,0.37487347045365,0.443963881540327,0.464109146361898,0.427166253148641,0.450295994668643
"DCISMS14",0.507245065507721,0.417378116883665,0.422939795966321,0.507611635132196,-0.0971708633956335,0.422797843186975,-0.215671871846711,-0.121693795426177,0.421222390857846,-0.20169219559129,0.625916193923976,0.637759694246638,0.810447652825414,1,-0.0231302321070674,0.676209188800558,-0.229049895163323,-0.0693600994275951,-0.159441021743396,0.724191831952377,0.485780681010667,0.502174634941135,0.480089779847054,0.514034843607029,0.526790240349655,0.461076700524785,0.518873909155493
"DCISMS15",-0.127096046891103,-0.0443283797837957,-0.146536641288221,-0.0194708724078093,0.307413507757292,-0.0196707144419139,0.273231348671812,0.176115085783899,-0.017945470716595,0.236982509715607,-0.081548678973309,-0.0493933217430197,-0.0747772770449229,-0.0231302321070674,1,0.0182386938007542,0.387600176246575,0.389225209714945,0.397872282287078,-0.0302697955509092,-0.0869151614809584,-0.038761887098706,0.0145655942855203,-0.127809520998558,-0.0666639127780781,-0.163202608415904,-0.107003840122543
"DCISMS16",0.431339867137981,0.388755345254598,0.328942887191014,0.49183353049453,-0.0213607610336844,0.527797438979892,-0.113937343650421,-0.156515282388867,0.521600774488461,-0.152365618594101,0.532350369640772,0.502343801687308,0.570199938005077,0.676209188800558,0.0182386938007542,1,-0.147036004259969,-0.0245657716390036,-0.0346270227785544,0.727684225681318,0.435568813379228,0.506337964044488,0.584372985321759,0.425143003367924,0.426001916831071,0.409604702253106,0.44433685844814
"DCISMS17",-0.133359308254966,-0.0776729102743978,-0.251257830522898,-0.159901650436683,0.300047247972976,-0.104917436430051,0.34350770736237,0.306242805923508,-0.129123587259591,0.346447027362136,-0.267345958940798,-0.25112547733693,-0.249695017430468,-0.229049895163323,0.387600176246575,-0.147036004259969,1,0.461226156630466,0.528518922898608,-0.164915421010967,-0.215281553322838,-0.171320471392834,-0.111144868968621,-0.19194460918614,-0.159864531170038,-0.228842329442791,-0.264477761397411
"DCISMS18",-0.130786854041218,-0.0832671964044194,-0.181441103177702,-0.0761973759583609,0.328459334232351,0.0560625019226345,0.301963599780828,0.205928704428928,-0.0780157289347286,0.370384503330599,-0.122861130904244,-0.0970149139560678,-0.0407436127927103,-0.0693600994275951,0.389225209714945,-0.0245657716390036,0.461226156630466,1,0.568645123390307,-0.0466333447046973,-0.158314566594209,-0.15707217177638,-0.0554930510340609,-0.165719495842038,-0.0735618605646012,-0.198602408413184,-0.182694926662362
"DCISMS19",-0.119633877652702,-0.0787745207163075,-0.260624887774947,-0.169366486434157,0.370791915656751,-0.0168261831045198,0.288880254035982,0.187175856459016,-0.051442260968642,0.221912431957303,-0.0986023411352259,-0.093031280976767,-0.151557375792622,-0.159441021743396,0.397872282287078,-0.0346270227785544,0.528518922898608,0.568645123390307,1,-0.102808174441927,-0.171669023042427,-0.130434098897108,-0.0589913632029167,-0.202123667055183,-0.156044731506572,-0.264023638483067,-0.223462444430757
"DCISMS20",0.484754949481144,0.446578297391429,0.34526078354766,0.498250074122826,-0.0618810275421506,0.454242820717895,-0.100550837148486,-0.119979965443321,0.531801215453835,-0.106953325941317,0.580107207853987,0.590239759151099,0.622281106138106,0.724191831952377,-0.0302697955509092,0.727684225681318,-0.164915421010967,-0.0466333447046973,-0.102808174441927,1,0.552780625293958,0.599089537600454,0.609576698385471,0.466755352922344,0.522986967845605,0.390449475658921,0.4332654829634
"DCISMS21",0.560063253423902,0.526171175984153,0.572142213677064,0.555828577257636,-0.252250636248159,0.539717747505444,-0.370228888993642,-0.196597727889781,0.576013918757073,-0.324169075738899,0.586968193537452,0.607876260096981,0.36450682230857,0.485780681010667,-0.0869151614809584,0.435568813379228,-0.215281553322838,-0.158314566594209,-0.171669023042427,0.552780625293958,1,0.762223934321852,0.766651916476851,0.638157060331951,0.635327415551304,0.625532940696335,0.651982425126343
"DCISMS22",0.606640519250417,0.579726049391924,0.507439901806695,0.607127944335545,-0.177493956939097,0.53938088148334,-0.33014089374869,-0.197977555785648,0.625980461153014,-0.297349509713961,0.565650831289916,0.588943549432287,0.410849810264307,0.502174634941135,-0.038761887098706,0.506337964044488,-0.171320471392834,-0.15707217177638,-0.130434098897108,0.599089537600454,0.762223934321852,1,0.855264552144511,0.597268770063371,0.654547681779002,0.584484977776225,0.606338987716164
"DCISMS23",0.584447466807093,0.541481632743464,0.471748571698567,0.604792993030957,-0.0803501631785,0.633311650201856,-0.229538131934391,-0.164303335414513,0.653011991286408,-0.211365911731644,0.541793792107365,0.555066843810094,0.37487347045365,0.480089779847054,0.0145655942855203,0.584372985321759,-0.111144868968621,-0.0554930510340609,-0.0589913632029167,0.609576698385471,0.766651916476851,0.855264552144511,1,0.566201323325107,0.598671211860292,0.527694541327599,0.572210289979205
"DCISMS24",0.513852983689572,0.460628988607088,0.571094270304874,0.522498482222148,-0.282869695041733,0.470381757548939,-0.311368273229979,-0.0489296207711118,0.456010138192098,-0.283303834302677,0.49403909387886,0.46993024704296,0.443963881540327,0.514034843607029,-0.127809520998558,0.425143003367924,-0.19194460918614,-0.165719495842038,-0.202123667055183,0.466755352922344,0.638157060331951,0.597268770063371,0.566201323325107,1,0.751621490003348,0.654538288571807,0.661425427092727
"DCISMS25",0.531282009669838,0.492514179998398,0.438082607738741,0.505230018176118,-0.236669531093344,0.492464344596904,-0.306965003539726,-0.0733412370036583,0.472578788308673,-0.258546931624747,0.520488682442855,0.514749902478229,0.464109146361898,0.526790240349655,-0.0666639127780781,0.426001916831071,-0.159864531170038,-0.0735618605646012,-0.156044731506572,0.522986967845605,0.635327415551304,0.654547681779002,0.598671211860292,0.751621490003348,1,0.612979239785133,0.640250697374694
"DCISMS26",0.548238189175725,0.533365779310309,0.714217920587841,0.600974205613356,-0.331202902050461,0.539695547039595,-0.470644202028611,-0.285704090692336,0.524882725447391,-0.418683085611583,0.568296395631913,0.535983226452715,0.427166253148641,0.461076700524785,-0.163202608415904,0.409604702253106,-0.228842329442791,-0.198602408413184,-0.264023638483067,0.390449475658921,0.625532940696335,0.584484977776225,0.527694541327599,0.654538288571807,0.612979239785133,1,0.940777803332777
"DCISMS27",0.581269598223075,0.547476589706042,0.72791309751673,0.626405663271458,-0.298639234389217,0.538384751672706,-0.452060169761056,-0.283018147610047,0.548729468203459,-0.435168159716982,0.584467693253445,0.553623532412122,0.450295994668643,0.518873909155493,-0.107003840122543,0.44433685844814,-0.264477761397411,-0.182694926662362,-0.223462444430757,0.4332654829634,0.651982425126343,0.606338987716164,0.572210289979205,0.661425427092727,0.640250697374694,0.940777803332777,1
