"","DCISMS1","DCISMS2","DCISMS3","DCISMS4","DCISMS5","DCISMS6","DCISMS7","DCISMS8","DCISMS9","DCISMS10","DCISMS11","DCISMS12","DCISMS13","DCISMS14","DCISMS15","DCISMS16","DCISMS17","DCISMS18","DCISMS19","DCISMS20","DCISMS21","DCISMS22","DCISMS23","DCISMS24","DCISMS25","DCISMS26","DCISMS27"
"DCISMS1",1,0.831888927096597,0.521359700150475,0.483791479139671,-0.0445107516887853,0.51750350170429,-0.107199681764229,-0.000407079571975613,0.563484296161878,-0.127551924260687,0.569039159219979,0.447026849115854,0.47096171531108,0.492517880915318,-0.0542117906157307,0.422257156042881,-0.203866584342093,-0.137452883524649,-0.189302898917166,0.452510768724588,0.570891912605528,0.59677522797132,0.630471440830271,0.414405742352356,0.483374796995611,0.290755083626726,0.273684560937138
"DCISMS2",0.831888927096597,1,0.47634973454636,0.499581795574189,-0.115884894511986,0.466031858497287,-0.159885623140137,-0.0579090911979258,0.552926994751804,-0.177808502826127,0.53622259778386,0.463392623229071,0.458589525202435,0.50119921658636,-0.122779858741945,0.35812485552892,-0.24481842823638,-0.170943939580219,-0.234998644638258,0.465009443974024,0.575478139571078,0.54600066460627,0.582736163779369,0.447551194648886,0.508629575864401,0.349660709583424,0.338009588277969
"DCISMS3",0.521359700150475,0.47634973454636,1,0.535608296453106,-0.118333191097914,0.367714889754178,-0.289447676208034,-0.267105412964949,0.426957141601576,-0.363784311794925,0.594533849732407,0.553288041084078,0.610513987436674,0.676313221303213,-0.129157798208559,0.341290940537502,-0.18732862547146,-0.17902977070428,-0.17900707222968,0.490274125073941,0.626767343791146,0.5716631259957,0.511389955327855,0.590825200203895,0.5100883491916,0.591524367227525,0.620284715763388
"DCISMS4",0.483791479139671,0.499581795574189,0.535608296453106,1,-0.0890825908056867,0.523764580441081,-0.162163930618573,-0.0891017811888971,0.573484692223295,-0.291948803393256,0.472693891634645,0.466083177003992,0.401474550648482,0.55137210713478,0.0269936544958521,0.414865096926351,-0.12621117651515,-0.0440717748996261,-0.0747305077785343,0.563675365497474,0.60585089877649,0.591980939360988,0.564559559354028,0.586600906978959,0.529479288949802,0.477149816993834,0.509349286941347
"DCISMS5",-0.0445107516887853,-0.115884894511986,-0.118333191097914,-0.0890825908056867,1,0.0580175407693575,0.639004881220113,0.436992068867408,0.0192371532300211,0.346263375387824,0.00787204745350033,-0.00656876298262866,-0.19453214827053,-0.140077336771638,0.34436697483503,0.00875976571117238,0.339430071220492,0.223073933764028,0.290560961751671,-0.131946390418987,-0.231790002756732,-0.174588315657637,-0.172835454494501,-0.137894442151326,-0.140985686932192,-0.135962444705037,-0.228521037840683
"DCISMS6",0.51750350170429,0.466031858497287,0.367714889754178,0.523764580441081,0.0580175407693575,1,0.0331842785988697,-0.0117452173918434,0.642439907520237,-0.118695199840004,0.307645170078239,0.267067410936609,0.327432728674786,0.350198447894257,-0.0197947287282115,0.44139207492085,-0.238110794561969,-0.133569627301743,-0.166476598775461,0.508930128426577,0.425505232124791,0.37101676693819,0.543374399885758,0.439464140921263,0.36880582044474,0.322143315924529,0.336654465805768
"DCISMS7",-0.107199681764229,-0.159885623140137,-0.289447676208034,-0.162163930618573,0.639004881220113,0.0331842785988697,1,0.539878512903174,-0.134221386144639,0.494551236233677,-0.189775691950722,-0.153401623967277,-0.212280932876092,-0.223200354181584,0.290942347462716,-0.0804143653359864,0.244649915842465,0.22393513348168,0.238158182121924,-0.126861637561964,-0.307958937060488,-0.276265715124843,-0.20648636105839,-0.391443501438871,-0.264401832823925,-0.419658901415415,-0.359310278643839
"DCISMS8",-0.000407079571975613,-0.0579090911979258,-0.267105412964949,-0.0891017811888971,0.436992068867408,-0.0117452173918434,0.539878512903174,1,-0.142591879778694,0.397338153356514,-0.102018017564567,-0.0796289455426909,-0.197895803396403,-0.0944811884237644,0.19916405262324,0.030702350611737,0.196421299730152,0.191057587395788,0.267773974973192,-0.0639946736877249,-0.247449763210503,-0.260199246076745,-0.176004270493792,-0.241452200791998,-0.168973533102937,-0.414621162903701,-0.402870584715769
"DCISMS9",0.563484296161878,0.552926994751804,0.426957141601576,0.573484692223295,0.0192371532300211,0.642439907520237,-0.134221386144639,-0.142591879778694,1,-0.101783950295344,0.483718420605873,0.438428140076879,0.350896054244224,0.468189708756183,0.00617311111856136,0.444030742399146,-0.174878397738614,-0.160471993729397,-0.0694607673004025,0.545439958965844,0.609211315341182,0.593757936352782,0.667368226906768,0.515687863340983,0.474802064789028,0.415751594464131,0.401728267216597
"DCISMS10",-0.127551924260687,-0.177808502826127,-0.363784311794925,-0.291948803393256,0.346263375387824,-0.118695199840004,0.494551236233677,0.397338153356514,-0.101783950295344,1,-0.101625415479506,-0.194093257927356,-0.163962273838954,-0.190320908031541,0.430138832311971,0.0223030891335555,0.250174930607459,0.329755505871846,0.333460345652894,-0.131963516870583,-0.284136699331815,-0.195935932679064,-0.178130879518365,-0.418268728082222,-0.210755760516854,-0.529073171813245,-0.537025883124401
